,apname,power,channel,channelusage,interferenceratio
0,N6_AP_127,32.0,165.0,3.35,3.2777777777777777
1,N6_AP_15,32.0,165.0,3.5796296296296295,3.462962962962963
2,N6_AP_159,32.0,165.0,3.6296296296296298,1.8074074074074074
3,N6_AP_165,32.0,165.0,3.3796296296296298,2.3777777777777778
