,apname,power,channel,channelusage,interferenceratio
0,N6_AP_120,32.0,56.0,8.451851851851853,7.824074074074074
1,N6_AP_141,32.0,56.0,8.612962962962962,8.607407407407408
2,N6_AP_142,32.0,56.0,8.188888888888888,7.927777777777778
3,N6_AP_149,31.011111111111113,56.0,8.712962962962964,8.692592592592593
4,N6_AP_161,31.23148148148148,56.0,2.324074074074074,2.324074074074074
5,N6_AP_171,32.0,56.0,11.992592592592592,9.14074074074074
6,N6_AP_190,32.0,56.0,12.87962962962963,6.95925925925926
7,N7_AP_26,32.0,56.0,1.0203703703703704,0.6703703703703704
