,N6_AP-193,N6_AP_120,N6_AP_121,N6_AP_122,N6_AP_123,N6_AP_124,N6_AP_125,N6_AP_126,N6_AP_127,N6_AP_128,N6_AP_129,N6_AP_130,N6_AP_131,N6_AP_132,N6_AP_133,N6_AP_134,N6_AP_135,N6_AP_136,N6_AP_137,N6_AP_138,N6_AP_139,N6_AP_140,N6_AP_141,N6_AP_142,N6_AP_143,N6_AP_144,N6_AP_145,N6_AP_147,N6_AP_148,N6_AP_149,N6_AP_15,N6_AP_150,N6_AP_151,N6_AP_152,N6_AP_153,N6_AP_154,N6_AP_155,N6_AP_156,N6_AP_157,N6_AP_158,N6_AP_159,N6_AP_160,N6_AP_161,N6_AP_162,N6_AP_163,N6_AP_164,N6_AP_165,N6_AP_166,N6_AP_167,N6_AP_168,N6_AP_169,N6_AP_170,N6_AP_171,N6_AP_173,N6_AP_174,N6_AP_175,N6_AP_177,N6_AP_178,N6_AP_180,N6_AP_181,N6_AP_182,N6_AP_183,N6_AP_184,N6_AP_185,N6_AP_186,N6_AP_187,N6_AP_188,N6_AP_189,N6_AP_190,N6_AP_191,N6_AP_192,N6_AP_193,N6_AP_194,N6_AP_195,N6_AP_412,N6_AP_414,N6_AP_418,N6_AP_419,N6_AP_58,N6_AP_60,N6_AP_62,N6_AP_63,N6_AP_66,N6_AP_91,N6_AP_92,N6_AP_94,N6_AP_95,N6_AP_96,N6_AP_97,N7-AP-260,N7-AP-327,N7_AP_196,N7_AP_197,N7_AP_20,N7_AP_20-2F,N7_AP_212,N7_AP_214,N7_AP_221,N7_AP_228,N7_AP_231,N7_AP_232,N7_AP_257,N7_AP_26,N7_AP_27,N7_AP_298,N7_AP_299,N7_AP_3,N7_AP_300,N7_AP_301,N7_AP_302,N7_AP_303,N7_AP_304,N7_AP_305,N7_AP_306,N7_AP_307,N7_AP_308,N7_AP_309,N7_AP_310,N7_AP_311,N7_AP_313,N7_AP_315,N7_AP_316,N7_AP_317,N7_AP_318,N7_AP_319,N7_AP_320,N7_AP_322,N7_AP_323,N7_AP_324,N7_AP_325,N7_AP_326,N7_AP_329,N7_AP_330,N7_AP_334,N7_AP_335,N7_AP_336,N7_AP_337,N7_AP_338,N7_AP_339,N7_AP_340,N7_AP_341,N7_AP_342,N7_AP_343,N7_AP_344,N7_AP_345,N7_AP_346,N7_AP_348,N7_AP_349,N7_AP_350,N7_AP_351,N7_AP_352,N7_AP_353,N7_AP_354,N7_AP_355,N7_AP_356,N7_AP_358,N7_AP_359,N7_AP_57,N7_AP_64,N7_AP_79,N7_AP_84,N7_AP_9,nkg6aaaphw46,nkg6aaaphw48,nkg6baaphw43,nkg6baaphw44
N6_AP_129,97,72,97,82,64,94,81,65,97,87,,77,89,88,77,69,87,91,64,79,78,,87,,,,,,,,87,,,,,,,,,,,,,,,,100,87,96,87,,96,87,95,89,87,96,86,99,89,88,90,,,,,,,,,,,,,,,,,,,,,,,95,,83,77,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N6_AP_130,100,85,91,87,80,88,84,76,77,83,77,,77,83,86,81,76,88,75,62,81,95,77,,,98,,92,,99,87,100,,,,99,,,100,,,,,,,,99,90,97,88,,97,91,94,87,89,95,86,96,88,88,88,,,,,,,99,,,,,,,,,,,,,,,,86,,86,81,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N6_AP_131,98,95,85,94,89,85,91,84,72,75,89,77,,75,89,84,66,76,85,81,89,96,64,,,,,77,,95,92,100,,,97,98,,97,91,99,,,,,,,100,96,,95,,99,98,96,93,94,96,91,99,92,92,92,,,,,,,,,,,,,,,,,,,,,,,77,,94,87,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N6_AP_132,,96,66,96,92,65,94,91,79,65,88,83,75,,90,92,77,67,88,87,92,97,77,,,,,95,,96,97,99,,,,,,,,,,,,,,,,100,,98,,100,97,98,96,97,97,93,96,98,97,98,,,,,,,,,,,,,,,,,,,,,,,84,,99,90,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N6_AP_133,98,83,100,73,79,99,69,74,93,96,77,86,89,90,,82,92,90,75,83,66,100,94,,,,,100,,,80,,,,,,100,,,,,,,,,,99,81,95,84,,92,85,90,86,79,89,78,89,85,81,85,,,,100,,,100,,,,,,,,,,,,,,,,96,,74,60,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N6_AP_134,,81,99,84,74,98,86,74,91,95,69,81,84,92,82,,89,96,69,81,81,,90,,,,,,,,88,,,100,,,,,,100,,,,,,,,94,96,87,,95,91,93,89,89,97,83,96,90,88,90,,100,,,,,,,,,,,,,,,,,,,,,89,,88,80,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N6_AP_135,,96,83,95,89,80,93,87,73,75,87,76,66,77,92,89,,79,83,80,92,98,66,,,98,,92,,99,96,94,100,,,99,100,,95,99,,,,,,,,98,99,97,,,99,99,96,97,96,94,,98,98,96,,,,,,,98,,,,,,,,,,100,,,,,,78,,97,90,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N6_AP_136,,98,76,97,93,72,96,91,84,65,91,88,76,67,90,96,79,,90,88,93,100,81,,,,,97,,,98,,100,99,,100,100,,,,,,,,,,,97,100,100,,,,98,100,98,99,96,99,99,99,98,,,,,,,99,,,,,,,,,,,,,,,,87,,100,96,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N6_AP_137,100,78,92,81,70,92,82,70,89,88,64,75,85,88,75,69,83,90,,79,79,,87,,,,,100,,100,88,,,,,,,,,,,,,,,,100,90,95,89,,95,89,94,89,85,93,85,96,90,85,89,,,,,,,100,,,,,,,,,,,,,,,,90,,84,74,82,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N6_AP_138,,86,95,88,82,91,87,81,85,87,79,62,81,87,83,81,80,88,79,,82,,82,,,,,100,,,88,,,,99,,,,96,,,,,,,,99,94,100,92,,95,92,95,90,88,98,86,98,89,88,91,,,,,,,,,,,,,,,,,,,,,,,89,,88,83,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
