,N7_AP_197,N7_AP_212,N7_AP_298,N7_AP_299,N7_AP_300,N7_AP_301,N7_AP_302,N7_AP_303,N7_AP_304,N7_AP_305,N7_AP_306,N7_AP_308,N7_AP_309,N7_AP_310,N7_AP_313,N7_AP_334,N7_AP_335,N7_AP_336,N7_AP_337,N7_AP_338,N7_AP_339,N7_AP_340,N7_AP_341,N7_AP_342,N7_AP_343,N7_AP_344,N7_AP_345,N7_AP_346,N7_AP_348,N7_AP_359,N7_AP_3,N7_AP_9,N7_AP_20,N7_AP_57,N7_AP_64,N7_AP_79,N7_AP_84
0,0.0,0.8847088820303946,0.9209617180205416,0.8973782984531392,0.9292785863605884,0.8460982752170492,0.9053929442560532,0.9258194561501304,0.9930791108441884,0.8755850770925111,0.9254220518211612,0.8884886580148984,0.9305077244374368,0.9399848762469826,0.8929602610898326,0.928664994425864,0.9355721046770601,0.8739352759876716,0.8573596894750839,0.8848151658984891,0.8673294645009973,0.8581518340267015,0.8501996940012321,0.969504820983048,0.9007435317166436,0.9023542715138996,0.8580052457952517,0.8696246670560289,0.8941489867757587,0.8558491370125718,0.8920297125515269,0.8869114559889401,0.8899487819765556,0.8788527762757207,0.944202875775934,0.8957719891790574,0.9101523041091759
1,0.8423264896351621,0.0,0.9492919389978214,0.8267743403093722,0.8004518736871834,0.8878480045324585,0.9063399611702484,0.8807167043378106,0.8190014441922839,0.8430361482381532,0.8561737894293738,1.0,0.8337880629930164,0.8166258370080027,0.8491974518932749,0.8324999999999999,0.805869351669941,0.7956441149212234,0.8364312267657992,0.8699288676520129,0.8359522844011894,0.8757478140819143,0.8320493066255779,0.863309872385935,0.7919028340080971,0.0,0.8536585365853658,0.8151882688484918,0.9182608695652176,0.0,0.9367450731087096,0.9067252685921584,0.9072736818123284,0.8160323236296878,0.8638146771301328,0.7738489186341947,0.8819135422741691
9,0.8529542553038888,0.8771042510566355,0.0,0.8835457749978972,0.8292330346055216,0.9185427257322684,0.937431693989071,0.8966578707552751,0.8610603120771949,0.9660952508004268,0.9198060187901622,0.8931039725927644,0.8896606010093994,0.8625199044585987,0.7647001929984217,0.8507543103448276,0.8234641638225255,0.7668183193023139,0.7969241423914877,0.8730487559998384,0.7956608038662191,0.7945468403547672,0.0,0.0,0.8200026119890297,0.8440145167959051,0.7931833579699434,0.8337605972937712,0.7731459183502107,0.0,0.7844530991480901,0.7635072929480886,0.8633346268881092,0.8409705401903904,0.8875809390024155,0.8297980405522808,0.8704109016038237
10,0.8829257603046011,0.8749503886966965,0.9635219584909986,0.0,0.8716054313099042,0.8854754312811708,0.9289826027630906,0.965999933309114,0.9283852158781218,0.9036292535675082,0.9460424357986126,0.8759367689041517,0.9414726587353168,0.9008280968038744,0.8660668042600745,0.8662066473988439,0.8958165901262916,0.8249645847651373,0.8405752497887493,0.8560494181225624,0.8465003860190903,0.8615218005461908,0.8633632012666883,0.9334975990614556,0.8178911899451079,0.8602775742193004,0.7976003147128246,0.8421659856936349,0.8564057971014494,0.7538887705092691,0.85826422883709,0.8586484527933169,0.8721432733272361,0.8772353241724259,0.9526250359912743,0.9211218229623136,0.8790141533601104
11,0.940348206640662,0.8460610040496458,0.8897049465070489,0.8745355626326965,0.0,0.8425226057501191,0.888355299049588,0.9225864449819744,0.95465586939358,0.8689431396786155,0.8878297414419917,0.8467372763831534,0.8883024930304914,0.9286610342174754,0.8489384759194987,0.8602797001153402,0.8917598684210526,0.8146810487057552,0.7598417193340921,0.8564629818458155,0.8036538300192969,0.8447178959741404,0.0,0.0,0.8214483826662385,0.8565001514429833,0.8462436500173539,0.8291107718014462,0.8541384863123994,0.0,0.8398999112791423,0.8456905673725935,0.8530954370391496,0.8630024841915085,0.9359575456328988,0.9096924139952679,0.8598745779915614
12,0.8569096950109781,0.9258445274028402,0.970783015192832,0.8905735385865386,0.8563287702148967,0.0,0.948584122905626,0.9106781481208324,0.8922701544224889,0.9204324324324326,0.8934669868782847,0.9426350185000736,0.8814057507987221,0.8711344964460446,0.8596435415918144,0.8490064825253665,0.8413152053274139,0.8171276329335818,0.8169468074592713,0.8709904963259258,0.8085001897363779,0.8132955571979961,0.0,0.0,0.841780341579169,0.8625266204068589,0.8126346120263113,0.7704600846993748,0.8636420919974795,0.0,0.8440341434609214,0.8614416605207732,0.8601629915184157,0.8472618756287896,0.9016810224844328,0.8384502389514055,0.8681909472229388
13,0.8686562642023935,0.8842110310331355,0.9663720785471812,0.9094411918191112,0.8664696849505484,0.8971444622572998,0.0,0.9300409597939241,0.9235488027894406,0.8909274193548388,0.9514970225347832,0.9005054137762271,0.9168782938750992,0.8963600148838837,0.8812324751717862,0.8750731850117095,0.8558611425339366,0.8428794906276588,0.8251456600499527,0.8626040956556501,0.8223213799546625,0.8206561237245269,0.8230083633956904,0.8891073054151569,0.8543974701020541,0.8931700923058192,0.8259464870768112,0.7616488678778741,0.9031159420289856,0.8301015697137579,0.8695706283129486,0.8762378161813072,0.8731252917416733,0.8765804714903336,0.9189461325496696,0.8548323707892861,0.8876672619371152
14,0.8809403818337708,0.8875256533896221,0.9274404949145434,0.9183749933094256,0.8964357450020894,0.8791093012733501,0.9415893604794352,0.0,0.9628496287008774,0.8467369873817034,0.9588101454430744,0.8687004476254345,0.960569246318417,0.9150092242226742,0.8047715039999229,0.8860685483870968,0.8700291622481442,0.8207104512325395,0.8120766063514852,0.8525356155103275,0.8257376072157094,0.8210447621717597,0.8247974109322719,0.9009157508768252,0.8470368151828063,0.8169806248819244,0.7949353840553331,0.8025648518172503,0.7926867335562988,0.0,0.8917675789869423,0.7737418153703189,0.854867944019807,0.8860244931563239,0.9312461336259644,0.8937508467031797,0.8597867496393072
15,0.91451520367183,0.8306052713326484,0.9158600148920328,0.8573301932237865,0.9093021413672008,0.8563051146384479,0.8992595048629531,0.9171644520297452,0.0,0.8321769067796609,0.8896439945404914,0.7860448388783533,0.8983759318423855,0.9615984353939266,0.7797708099570777,0.8874034749034749,0.9006416349809886,0.8504723117823406,0.8049946490931621,0.8293923938119878,0.8412380728133023,0.8084825183227202,0.803006957090162,0.9366427640917536,0.8408067213291618,0.0,0.81370246932283,0.877416380974331,0.8863768115942029,0.0,0.8114523802827869,0.0,0.8661495943656948,0.8653156384505021,0.8943059079733976,0.9124219057803792,0.8914219706415982
16,0.8489412761151892,0.8873499689156674,0.9852575748084113,0.9014755375073012,0.8807040810175417,0.9366697921550244,0.9414516217400832,0.8889222027098413,0.8979131787606824,0.0,0.8962595094303284,0.9053050876853036,0.8784810039704464,0.876591473027139,0.8692224638000541,0.8541177293064877,0.8689387810140238,0.8260135135135134,0.8461674632678349,0.8597033013933562,0.8125681684705094,0.7851717444510086,0.8597842835130971,0.9058112814880118,0.8286528158258383,0.8927715335854686,0.7611118876231742,0.8504508657198006,0.8821256038647344,0.8651182612401448,0.8531468860010086,0.8661683973286569,0.8479724756026359,0.8413087907064296,0.9224908129188228,0.8070360429447853,0.8712066567265483
